t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.000686,0.017227548000000002,1.24651,0.013820625586637894,0.1,1.4786595492289443,3.337831939568723e-19,4.705959999999999e+41,4.705959999999999e+33,5.035863913063715e+19
0.000687,0.017259697,1.246795,0.01384325169735201,0.1,1.4781209247184353,3.332854396208422e-19,4.7196899999999994e+41,4.719689999999999e+33,5.030830566243507e+19
0.0006879999999999999,0.017291872,1.24708,0.013865888315104083,0.1,1.4775829383886256,3.327889500875283e-19,4.7334399999999995e+41,4.733439999999999e+33,5.025802250254284e+19
0.0006889999999999999,0.017324073000000002,1.247365,0.013888535432692117,0.1,1.47704558910598,3.3229372083374116e-19,4.74721e+41,4.747209999999999e+33,5.0207789600677315e+19
0.00069,0.017356299999999998,1.24765,0.01391119304292069,0.1,1.476508875739645,3.317997473572236e-19,4.761e+41,4.760999999999999e+33,5.015760690660556e+19
0.000691,0.017388552999999998,1.247935,0.013933861138600966,0.1,1.4759727971614431,3.3130702517653043e-19,4.77481e+41,4.774809999999999e+33,5.010747437014489e+19
0.000692,0.017420832,1.24822,0.013956539712550672,0.1,1.475437352245863,3.308155498309109e-19,4.78864e+41,4.788639999999999e+33,5.005739194116278e+19
0.0006929999999999999,0.017453136999999997,1.248505,0.013979228757594081,0.1,1.474902539870053,3.30325316880191e-19,4.8024899999999995e+41,4.802489999999999e+33,5.000735956957677e+19
0.000694,0.017485467999999997,1.24879,0.01400192826656203,0.1,1.4743683589138137,3.2983632190465624e-19,4.81636e+41,4.816359999999999e+33,4.99573772053545e+19
0.000695,0.017517824999999997,1.2490750000000002,0.014024638232291891,0.1,1.4738348082595873,3.2934856050493575e-19,4.83025e+41,4.830249999999999e+33,4.99074447985136e+19
0.000696,0.017550207999999998,1.24936,0.014047358647627583,0.1,1.473301886792453,3.2886202830188677e-19,4.84416e+41,4.8441599999999995e+33,4.9857562299121656e+19
0.0006969999999999999,0.017582617,1.249645,0.014070089505419539,0.1,1.4727695934001177,3.283767209364811e-19,4.858089999999999e+41,4.858089999999999e+33,4.980772965729617e+19
0.0006979999999999999,0.017615052,1.24993,0.014092830798524717,0.1,1.4722379269729093,3.2789263406969025e-19,4.8720399999999994e+41,4.8720399999999987e+33,4.975794682320449e+19
0.000699,0.017647513,1.250215,0.014115582519806592,0.1,1.4717068864037672,3.2740976338237323e-19,4.886009999999999e+41,4.8860099999999993e+33,4.9708213747063775e+19
0.0007,0.01768,1.2505,0.014138344662135148,0.1,1.4711764705882353,3.269281045751634e-19,4.9e+41,4.899999999999999e+33,4.965853037914096e+19
0.000701,0.017712513000000006,1.250785,0.014161117218386858,0.1,1.4706466784244563,3.264476533683587e-19,4.9140099999999994e+41,4.914009999999999e+33,4.960889666975265e+19
0.0007019999999999999,0.017745051999999997,1.2510700000000001,0.01418390018144468,0.1,1.4701175088131613,3.259684055018096e-19,4.9280399999999995e+41,4.928039999999999e+33,4.955931256926514e+19
0.000703,0.017777617,1.251355,0.014206693544198089,0.1,1.469588960657663,3.254903567348091e-19,4.94209e+41,4.942089999999999e+33,4.950977802809435e+19
0.000704,0.017810207999999998,1.2516399999999999,0.014229497299542999,0.1,1.4690610328638496,3.2501350284598444e-19,4.95616e+41,4.956159999999999e+33,4.94602929967057e+19
0.000705,0.017842825000000003,1.251925,0.014252311440381814,0.1,1.468533724340176,3.2453783963318796e-19,4.97025e+41,4.970249999999999e+33,4.941085742561417e+19
0.0007059999999999999,0.017875468,1.25221,0.014275135959623384,0.1,1.4680070339976554,3.2406336291338973e-19,4.98436e+41,4.9843599999999993e+33,4.9361471265384186e+19
0.000707,0.017908137,1.2524950000000001,0.014297970850183033,0.1,1.4674809607498538,3.235900685225697e-19,4.99849e+41,4.998489999999999e+33,4.9312134466629575e+19
